step_count,min_error,q1_error,median_error,q3_error,max_error,rmse
377,8.180824,8.214382,8.260824,8.316174,8.368391,8.269062
378,8.252845,8.286417,8.335696,8.388375,8.442204,8.341202
379,8.338496,8.371424,8.424220,8.474229,8.525363,8.427476
380,8.405947,8.440562,8.493256,8.544388,8.596895,8.497237
381,8.476101,8.510756,8.562081,8.612441,8.662371,8.566568
382,8.554427,8.593538,8.645998,8.693535,8.743204,8.647688
383,8.619027,8.659137,8.714143,8.761100,8.812618,8.714761
384,8.681353,8.725269,8.780048,8.825896,8.878065,8.779556
385,8.755112,8.801663,8.855189,8.903733,8.958245,8.856267
386,8.814553,8.867338,8.917614,8.967426,9.019740,8.918761
387,8.872468,8.928688,8.978846,9.026440,9.086753,8.979721
388,8.943291,8.998990,9.050412,9.099612,9.154853,9.050320
389,8.998723,9.058253,9.105083,9.158350,9.211890,9.108755
390,9.068229,9.127794,9.173767,9.227163,9.278092,9.176611
391,9.120223,9.183178,9.231193,9.283565,9.333357,9.231160
392,9.168964,9.238379,9.283766,9.338946,9.386494,9.284468
393,9.230881,9.296586,9.345708,9.400655,9.449334,9.345693
394,9.282740,9.347779,9.394422,9.453205,9.501723,9.396331
395,9.328982,9.398644,9.442669,9.501268,9.550038,9.445148
396,9.388673,9.454711,9.498039,9.558026,9.609609,9.501912
397,9.430794,9.499474,9.544193,9.602399,9.656180,9.546530
398,9.472338,9.544666,9.587421,9.645021,9.699463,9.590459
399,9.523072,9.596184,9.638798,9.697640,9.749753,9.641587
400,9.563370,9.639017,9.678048,9.737610,9.791918,9.682367
401,9.600270,9.678522,9.716619,9.774590,9.831831,9.721003
402,9.647642,9.723889,9.761838,9.818807,9.876847,9.766073
403,9.683804,9.761079,9.798853,9.854900,9.914945,9.802413
404,9.725860,9.803114,9.838071,9.893847,9.954743,9.842684
405,9.759876,9.833355,9.870095,9.925362,9.988772,9.875417
406,9.790207,9.864276,9.901633,9.956228,10.023595,9.906389
407,9.826985,9.900993,9.937881,9.990893,10.060657,9.942266
408,9.856848,9.930890,9.965709,10.018942,10.089624,9.971103
409,9.879088,9.957483,9.993226,10.044493,10.120593,9.998722
410,9.909294,9.985957,10.027174,10.075586,10.149042,10.029369
411,9.933123,10.008600,10.051817,10.101333,10.174419,10.054217
412,9.956307,10.030269,10.076965,10.125448,10.195340,10.078173
413,9.980768,10.056770,10.102885,10.153914,10.222869,10.105383
414,10.002919,10.077823,10.123114,10.174843,10.244028,10.127530
415,10.022063,10.098804,10.144299,10.194164,10.261056,10.147969
416,10.042362,10.121950,10.166306,10.219021,10.285384,10.171432
417,10.059296,10.140806,10.182507,10.238781,10.308799,10.189671
418,10.081325,10.163069,10.201958,10.257778,10.330873,10.210572
419,10.099817,10.180144,10.218135,10.275456,10.345812,10.227573
420,10.117207,10.195107,10.232181,10.293705,10.368358,10.244307
421,10.131917,10.212503,10.248865,10.312801,10.386683,10.261697
422,10.143884,10.227291,10.263738,10.328142,10.402826,10.275879
423,10.160060,10.241897,10.276588,10.338648,10.412355,10.288961
424,10.177530,10.258818,10.291476,10.354479,10.428640,10.305502
425,10.193297,10.270207,10.301637,10.369458,10.444167,10.318306
426,10.207010,10.279704,10.312540,10.380682,10.459532,10.329368
427,10.221770,10.293284,10.327753,10.397036,10.474570,10.344200
428,10.234562,10.305123,10.341479,10.409760,10.485862,10.356128
429,10.243314,10.316812,10.351274,10.421935,10.496160,10.366534
430,10.257768,10.327226,10.362344,10.433602,10.507245,10.378470
431,10.268396,10.337637,10.374259,10.440144,10.515779,10.388823
432,10.280458,10.348515,10.384245,10.450556,10.524955,10.399892
