step_count,min_error,q1_error,median_error,q3_error,max_error,rmse
273,0.479557,0.571541,0.627557,0.772387,4.374627,1.198995
274,0.443148,0.568796,0.641871,0.762750,4.374300,1.201461
275,0.454865,0.561244,0.655286,0.807892,4.377171,1.203375
276,0.491441,0.557120,0.690175,0.779340,4.371907,1.207742
277,0.506350,0.560819,0.659239,0.787491,4.381553,1.204579
278,0.449374,0.568130,0.680208,0.762353,4.334168,1.194571
279,0.446812,0.571447,0.662579,0.764693,4.349055,1.202470
280,0.374448,0.590814,0.662941,0.759234,4.353866,1.198973
281,0.375918,0.586349,0.663630,0.782101,4.353109,1.203028
282,0.383484,0.558423,0.658344,0.758010,4.356214,1.191885
283,0.381455,0.542400,0.637591,0.739570,4.350370,1.184701
284,0.429118,0.560043,0.637755,0.721527,4.327513,1.188691
285,0.382248,0.537653,0.645704,0.712147,4.328512,1.188984
286,0.397072,0.533336,0.647943,0.701727,4.318663,1.184497
287,0.411532,0.478546,0.598503,0.672014,4.303091,1.166885
288,0.391129,0.485063,0.601902,0.674002,4.259452,1.146311
289,0.327763,0.471044,0.603770,0.639713,4.235972,1.134318
290,0.314317,0.470588,0.553827,0.627987,4.206274,1.114214
291,0.287190,0.452223,0.525015,0.659214,4.203217,1.105303
292,0.293283,0.454636,0.522919,0.648003,4.195012,1.099389
293,0.276511,0.443685,0.491839,0.663036,4.201149,1.095593
294,0.294551,0.435770,0.484407,0.636366,4.196566,1.087857
295,0.276421,0.440919,0.477720,0.596850,4.203176,1.089707
296,0.300780,0.440899,0.469587,0.593769,4.179793,1.086908
297,0.312750,0.441744,0.476233,0.607225,4.176403,1.092279
298,0.311685,0.433205,0.474094,0.610203,4.041460,1.068959
299,0.332737,0.434315,0.474775,0.615481,3.999208,1.062462
300,0.271094,0.411026,0.457780,0.625055,3.944873,1.046869
301,0.255934,0.403629,0.443217,0.611614,3.922934,1.037589
302,0.207410,0.396219,0.457854,0.590112,3.933078,1.036214
303,0.226356,0.406945,0.468739,0.586055,3.972399,1.047099
304,0.292205,0.410580,0.479841,0.621405,3.819354,1.024390
305,0.259889,0.419228,0.469425,0.580157,3.790945,1.013527
306,0.258443,0.440500,0.498123,0.582309,3.804847,1.015041
307,0.257157,0.426732,0.486384,0.578357,3.741481,1.004156
308,0.310306,0.439407,0.501723,0.611314,3.712287,1.006152
309,0.329508,0.445357,0.498593,0.586059,3.701253,1.006208
310,0.314647,0.470078,0.525651,0.581452,3.701085,1.012376
311,0.276832,0.461206,0.504676,0.571098,3.710428,1.007189
312,0.291310,0.445341,0.512564,0.578026,3.675555,1.000898
313,0.295700,0.469420,0.525244,0.607287,3.538082,0.983626
314,0.394243,0.492599,0.518116,0.587567,3.555578,0.988175
315,0.401357,0.487444,0.538571,0.631423,3.531598,0.988829
316,0.426428,0.508165,0.550072,0.598325,3.450711,0.975792
317,0.412343,0.503205,0.548419,0.592472,3.412664,0.967105
318,0.405754,0.505146,0.547919,0.611358,3.389985,0.966543
319,0.391838,0.521519,0.563144,0.625484,3.339121,0.966444
320,0.398504,0.527783,0.563694,0.640924,3.285201,0.961789
321,0.411149,0.530284,0.570125,0.657744,3.230952,0.959728
322,0.445930,0.528147,0.595059,0.655121,3.174117,0.952404
323,0.460972,0.507260,0.599425,0.655948,3.132367,0.949615
324,0.455634,0.547007,0.606252,0.678689,3.087419,0.953051
325,0.473415,0.541268,0.619565,0.686534,3.062572,0.949366
326,0.505565,0.545567,0.633110,0.705769,3.027298,0.950543
327,0.483003,0.571341,0.640649,0.724022,2.981925,0.949504
328,0.493763,0.586664,0.653235,0.750032,2.928150,0.949492
